trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Trading Bot [0xffbd3e],retail,0xffbd3e51ae0e2c4407434e157965c064f2a11628,"34,792,137.22",0.03,"767,452.49"
Smart HL Perps Trader [0xfce053],retail,0xfce053a5e461683454bf37ad66d20344c0e3f4c0,"3,879,232.68",0.02,"415,587.99"
Bridge User [0xfc667a],retail,0xfc667adba8d4837586078f4fdcdc29804337ca06,"28,196,371.28",0.02,"1,154,648.28"
High Balance [0xfc079a],retail,0xfc079a49e371976f559bea0cd1c1f87a5f5b9464,"2,422,473.35",0.06,"179,754.19"
Medium Dex Trader [0xfbc963],retail,0xfbc9638938262f15cc1b3a751a54d538559da361,"317,947.91",0.10,"258,765.06"
Whale [0xf9109a],retail,0xf9109ada2f73c62e9889b45453065f0d99260a2d,"16,729,817.00",0.00,"358,610.44"
[0xf87403],retail,0xf874039b239c1bda68b6b342dd0a5680e34a8c33,"437,257.73",0.04,"122,014.23"
High Activity [0xf58b67],retail,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7,"1,281,894.99",0.01,"116,673.48"
Top 100 on AVAX Leaderboard [0xf28e1b],retail,0xf28e1b06e00e8774c612e31ab3ac35d5a720085f,"4,954,126.35",0.10,"181,362.79"
Wintermute Market Making [0xecb63c],MM,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,"43,353,163.27",0.00,"5,103,131.64"
[0xebcfa0],retail,0xebcfa0e05df4c406f4a166b1318581134a8537c0,"1,049,518.97",0.05,"140,685.20"
[0xeaf350],retail,0xeaf35054804ab7ed6b8cb070296dd6bb38abb4b1,"499,794.34",0.03,"104,216.93"
Smart HL Perps Trader [0xea6670],retail,0xea6670ebdb4a388a8cfc16f6497bf4f267b061ee,"11,546,661.75",0.54,"1,036,133.21"
[0xe9d199],retail,0xe9d199fd55a2560e3193f330e017192316ecd2d3,"1,452,875.90",0.01,"194,647.64"
High Activity [0xe86b05],retail,0xe86b057f5eb764c9738d6b0d38170befd0723664,"5,105,302.16",0.00,"104,119.81"
Smart HL Perps Trader [0xe2f86f],retail,0xe2f86feccb1207710a442bc4e27a0701a290275a,"2,954,502.78",0.09,"193,999.23"
[0xdb79fe],retail,0xdb79fe310ea2972137d2a23658db0234902b517d,"386,679.29",0.25,"175,514.18"
High Balance [0xd96ea3],retail,0xd96ea3bcce83d4e1ef8abd1776eecd0cea1bb09e,"1,790,200.35",0.05,"650,292.33"
Whale [0xd911e5],retail,0xd911e53d53b663972254e086450fd6198a25961e,"7,704,711.31",0.07,"357,503.34"
Consistent Perps Winner [0xd82f7d],retail,0xd82f7d84a524b8e82de0cb3df1f04e338604fd8e,"553,310.44",0.09,"421,647.87"
[0xd7b19f],retail,0xd7b19f8aaf5c9619bd5141945a73d2ca74984451,"1,473,847.98",0.17,"446,146.45"
